Chapter,หัวข้อ,คำถาม,ตัวเลือก A,ตัวเลือก B,ตัวเลือก C,ตัวเลือก D,คำตอบที่ถูก,คำอธิบาย,หมายเหตุการรวม,status
6,เหตุผลที่ระบบอาจแนะนำสิ่งที่เรา “ไม่ชอบ”,ข้อใดต่อไปนี้ ไม่ใช่ เหตุผลที่ระบบแนะนำสิ่งไม่ตรงใจ,ผู้ใช้เคยใช้เวลาเยอะกับคอนเทนต์นั้น,ระบบสุ่มเสนอสิ่งใหม่เพื่อทดลอง,ระบบใช้ข้อมูลของเพื่อนที่ชอบสิ่งนั้น,ระบบเข้าใจอารมณ์ของผู้ใช้ผิด,D,AI ไม่ได้เข้าใจอารมณ์ของมนุษย์ แต่ใช้รูปแบบข้อมูลและเวลาเป็นหลักในการคาดเดา,,checked
6,AI เข้าใจผู้ใช้โดย “เดา” จากข้อมูล ไม่ได้อ่านใจได้จริง,การที่ระบบแนะนำสามารถเดาได้ว่าเราชอบอะไร สะท้อนหลักการใด,การเรียนรู้จากตัวอย่าง (Learning from Data),การเข้าใจอารมณ์ผู้ใช้,การสุ่มแบบไม่มีรูปแบบ,การเรียนรู้เชิงจิตวิทยา,A,ระบบใช้ข้อมูลจำนวนมากเพื่อเรียนรู้รูปแบบความสนใจของผู้ใช้,,checked
6,ระบบเรียนรู้จากพฤติกรรม เช่น การกดไลก์ การดูวิดีโอ หรือการซื้อสินค้า,ข้อมูลใดต่อไปนี้มีผลต่อการแนะนำของ AI มากที่สุด,ข้อมูลที่ผู้ใช้พิมพ์เท่านั้น,พฤติกรรมการโต้ตอบของผู้ใช้ เช่น การกดไลก์และเวลาที่ใช้กับคอนเทนต์,ข้อมูลจากเพื่อนเท่านั้น,การตั้งค่าภาษาในเครื่อง,B,พฤติกรรมของผู้ใช้ (implicit feedback) เป็นตัวบ่งชี้หลักที่ระบบใช้เรียนรู้ความสนใจ,,checked
6,การใช้ Recommendation System ในการศึกษา,การนำ AI มาปรับการเรียนรู้ให้เหมาะกับแต่ละบุคคลมีประโยชน์อย่างไร,ทุกคนได้เรียนเหมือนกันหมด,ผู้เรียนแต่ละคนได้รับเนื้อหาที่ตรงกับระดับและความสนใจ,ครูไม่ต้องสอนอีกต่อไป,ผู้เรียนต้องแข่งขันกันมากขึ้น,B,Personalized learning ช่วยให้แต่ละคนเรียนในระดับและรูปแบบที่เหมาะสมกับตนเอง,,checked
6,ระบบแนะนำ (Recommendation System) ช่วยเลือกสิ่งที่ “น่าจะใช่สำหรับเรา”,ระบบ Recommendation System ทำงานอย่างไร,คาดเดาจากสิ่งที่ผู้ใช้น่าจะสนใจโดยอิงจากพฤติกรรมการใช้งาน,สุ่มเนื้อหาทั้งหมดให้ผู้ใช้เลือกเอง,ให้ผู้เชี่ยวชาญเลือกเนื้อหาให้ผู้ใช้,แนะนำเฉพาะสิ่งที่ผู้ใช้ไม่เคยเห็นมาก่อน,A,ระบบใช้ข้อมูลการดู คลิก หรือซื้อของผู้ใช้มาคาดเดาสิ่งที่ผู้ใช้น่าจะชอบ,,checked
7,บทสรุป,1ข้อใดสอดคล้องกับแนวคิด “AI for All” มากที่สุด,ให้ AI พัฒนาเฉพาะด้านเทคโนโลยีชั้นสูง,ให้ทุกคนสามารถเข้าถึงและใช้ AI ได้อย่างเท่าเทียม,ให้ผู้เชี่ยวชาญเท่านั้นใช้ AI,ให้ AI ทำงานแทนมนุษย์ทั้งหมด,B,“AI for All” หมายถึงการทำให้เทคโนโลยีตอบโจทย์คนทุกกลุ่มอย่างเท่าเทียมและทั่วถึง,,
7,หัวใจของการพัฒนา AI ที่ดีที่สุด,1หลักคิด “Human-Centered AI” เน้นสิ่งใด,การพัฒนาเทคโนโลยีที่เน้นผลกำไรสูงสุด,การพัฒนาโดยมีมนุษย์และคุณภาพชีวิตเป็นศูนย์กลาง,การลดต้นทุนทางเทคนิค,การใช้ข้อมูลให้มากที่สุด,B,Human-Centered AI คือการสร้างเทคโนโลยีที่ยกระดับคุณภาพชีวิตและลดความเหลื่อมล้ำ,,
7,ความท้าทายของ AI เพื่อทุกคน,1ข้อใด ไม่ใช่ ความท้าทายในการออกแบบ AI ที่ครอบคลุมทุกกลุ่ม,Bias ของ AI,การปกป้องข้อมูลส่วนบุคคล,ค่าใช้จ่ายและความพร้อมของผู้ใช้,ความต้องการให้ระบบแนะนำซ้ำเดิม,D,ปัญหา Echo Chamber เกี่ยวข้องกับการแนะนำเนื้อหา ไม่ใช่การเข้าถึงของผู้ใช้,,
7,AI ในวงการศึกษา,1บทบาทของ AI ใน Blended Learning คืออะไร,เป็นผู้สอนแทนครูทั้งหมด,ช่วยปรับเนื้อหาและกิจกรรมให้เหมาะกับผู้เรียนแต่ละคน,จัดสอบแทนครู,ทำหน้าที่ควบคุมนักเรียน,B,AI ทำหน้าที่เป็นผู้ช่วยวิเคราะห์ความเข้าใจและแนะนำเนื้อหาที่เหมาะกับแต่ละคน,,
7,AI ลดอุปสรรคทางภาษา,แอปแปลภาษาที่ใช้เสียงพูดช่วยสร้างความเท่าเทียมได้อย่างไร,ช่วยให้เข้าใจเนื้อหาที่ซับซ้อนขึ้น,ทำให้ผู้ใช้ต่างชาติเข้าถึงบริการสาธารณะได้เท่าเทียม,ใช้เฉพาะในการท่องเที่ยว,ช่วยให้ผู้เรียนฝึกสำเนียง,B,AI ช่วยแปลภาษาแบบเรียลไทม์ ทำให้ผู้ใช้ต่างชาติหรือผู้ย้ายถิ่นเข้าถึงบริการได้เท่ากับคนท้องถิ่น,,
7,"การช่วยนักเรียนที่มีปัญหาด้านการเรียนรู้ (LD, Dyslexia)",เทคโนโลยีใดเหมาะกับผู้เรียนที่มี Dyslexia,ระบบแปลภาษาอัตโนมัติ,ระบบ Text-to-Speech ที่อ่านเนื้อหาออกเสียง,ระบบตรวจสอบภาพ,ระบบพิมพ์ดีดเร็ว,B,Text-to-Speech ช่วยให้นักเรียนที่อ่านหนังสือยากเข้าใจเนื้อหาได้ดีขึ้นโดยการฟัง,,
7,AI ช่วยผู้สูงอายุ,ข้อใดต่อไปนี้เป็นตัวอย่างของการใช้ AI เพื่อดูแลผู้สูงอายุ,เกมออนไลน์เพื่อสุขภาพจิต,หุ่นยนต์เพื่อนพูดคุย เตือนยา และตรวจจับการล้ม,ระบบจำลองสภาพอากาศ,แอปแปลภาษาต่างประเทศ,B,AI ช่วยผู้สูงอายุได้ทั้งด้านความปลอดภัยและอารมณ์ผ่านผู้ช่วยอัจฉริยะและหุ่นยนต์ดูแล,,
7,การช่วยเหลือผู้พิการทางการได้ยิน,เทคโนโลยีใดช่วยให้ผู้บกพร่องทางการได้ยินเข้าถึงข้อมูลได้มากขึ้น,โปรแกรมคำนวณคณิตศาสตร์,แอปแปลงเสียงพูดเป็นข้อความแบบเรียลไทม์,กล้องรักษาความปลอดภัย,แอปสั่งอาหารออนไลน์,B,การแปลงเสียงเป็นข้อความช่วยให้ผู้บกพร่องทางการได้ยินเข้าใจบทสนทนาได้ทันที,,
7,ประโยชน์ข้อที่ 1: การช่วยเหลือผู้ที่มีความต้องการพิเศษ,ตัวอย่างใดแสดงถึงการใช้ AI เพื่อช่วยผู้พิการทางสายตา,ระบบตรวจจับใบหน้า,แอปอ่านข้อความบนหน้าจอและบรรยายสิ่งรอบตัว,ระบบจดจำเสียงของผู้ใช้,แอปแปลภาษาอัตโนมัติ,B,AI ช่วยบรรยายสิ่งรอบตัวให้ผู้พิการทางสายตาผ่านเสียงได้แบบเรียลไทม์,,
7,การฝึกโมเดลด้วยข้อมูลที่หลากหลาย,ทำไมข้อมูลฝึก AI ต้องมีความหลากหลาย,เพื่อให้โมเดลซับซ้อนขึ้น,เพื่อป้องกันการเกิดอคติและตอบสนองผู้ใช้ทุกกลุ่มได้,เพื่อให้ระบบทำงานช้าลง,เพื่อสร้างภาพจำของผู้ใช้กลุ่มเดียว,B,ความหลากหลายของข้อมูลช่วยลด Bias และเพิ่มความเท่าเทียมในการตัดสินใจของ AI,,
7,Human-Centered Design,Human-Centered Design เน้นหลักการใด,ให้ AI ตัดสินใจแทนมนุษย์,พัฒนาเทคโนโลยีที่ตอบโจทย์ความต้องการของมนุษย์อย่างแท้จริง,ลดต้นทุนของผู้ผลิตเท่านั้น,พัฒนาเพื่อกลุ่มเฉพาะที่ใช้ได้ดี,B,การออกแบบโดยยึดมนุษย์เป็นศูนย์กลาง ทำให้เทคโนโลยีตอบสนองต่อผู้ใช้ทุกกลุ่มได้จริง,,
7,องค์ประกอบของการออกแบบที่ครอบคลุม,แนวคิดใดที่เป็นสามเสาหลักของการออกแบบเพื่อทุกคน,"Inclusivity, Accessibility, Usability","Simplicity, Speed, Design","Privacy, Creativity, Innovation","Accessibility, Security, Automation",A,การรวมทุกกลุ่ม (Inclusivity) การเข้าถึงได้ (Accessibility) และการใช้งานจริง (Usability) คือหัวใจของ Human-Centered Design,,
7,แนวคิด Inclusive Design,Inclusive Design หมายถึงอะไร,การออกแบบเฉพาะสำหรับผู้ใช้ที่มีความพิการ,การออกแบบเทคโนโลยีที่คำนึงถึงความหลากหลายของผู้ใช้ทุกกลุ่ม,การออกแบบระบบที่ใช้ AI ขั้นสูงเท่านั้น,การออกแบบเพื่อความสะดวกของผู้พัฒนา,B,Inclusive Design คือการออกแบบเทคโนโลยีให้ทุกคนเข้าถึงได้โดยไม่ถูกจำกัดด้วยเพศ อายุ ภาษา หรือสภาพร่างกาย,,
7,การแปลเป็นภาษามือด้วยอวาตาร์,ข้อใดคือประโยชน์ของการใช้ AI แปลเสียงพูดเป็นภาษามือผ่านอวาตาร์,ทำให้คนทั่วไปเรียนภาษามือได้เร็วขึ้น,ลดช่องว่างการสื่อสารระหว่างคนหูหนวกกับคนทั่วไป,ช่วยให้หุ่นยนต์เข้าใจมนุษย์มากขึ้น,ใช้เฉพาะในวงการเกม,B,AI ภาษามือช่วยสร้างการสื่อสารที่เท่าเทียมระหว่างผู้บกพร่องทางการได้ยินกับสังคม,,
8,ประโยชน์ของการที่ AI เข้าใจอารมณ์,ข้อใดเป็นประโยชน์โดยตรงของ Emotional AI,ใช้แทนนักจิตวิทยาได้โดยสมบูรณ์,ช่วยวิเคราะห์อารมณ์ของผู้ใช้และปรับการตอบสนองให้เหมาะสม,ทำให้ AI มีความรู้สึกจริง,ลดความต้องการครูในโรงเรียน,B,AI ที่เข้าใจอารมณ์ช่วยเพิ่มประสิทธิภาพการสื่อสารและการบริการ,,
8,Human-Centered AI,1แนวคิด “Human-Centered AI” ในบทนี้หมายถึงอะไร,AI ที่เน้นการเลียนแบบมนุษย์ทุกด้าน,AI ที่เข้าใจและตอบสนองต่อมนุษย์เพื่อยกระดับคุณภาพชีวิต,AI ที่ตัดสินใจแทนมนุษย์ทั้งหมด,AI ที่ไม่มีการควบคุมจากมนุษย์,B,Human-Centered AI คือการพัฒนา AI ที่เข้าใจมนุษย์และใช้เพื่อสนับสนุน ไม่แทนที่มนุษย์,,
8,สรุป,1จากบทเรียนนี้ เราสามารถสรุปได้ว่า...,AI มีอารมณ์จริง ๆ แบบมนุษย์,AI ไม่มีอารมณ์ แต่เข้าใจและตอบสนองต่ออารมณ์ของมนุษย์ได้,AI ไม่สามารถวิเคราะห์อารมณ์ได้เลย,AI สามารถรู้สึกโกรธหรือเศร้าได้เอง,B,AI ไม่มีอารมณ์ แต่เข้าใจและจำลองการแสดงออกทางอารมณ์เพื่อสื่อสารกับมนุษย์ได้,,
8,AI กับสุขภาพจิต,1ข้อใดคือการใช้ Emotional AI ในการดูแลสุขภาพจิต,วิเคราะห์อารมณ์จากเสียงหรือข้อความเพื่อช่วยตรวจจับภาวะเครียดหรือซึมเศร้า,แนะนำผลิตภัณฑ์ใหม่ตามความรู้สึก,ตรวจสอบอุณหภูมิร่างกาย,ส่งข้อความอัตโนมัติเมื่อผู้ใช้หัวเราะ,A,AI สามารถช่วยประเมินภาวะทางอารมณ์จากพฤติกรรมและการสื่อสารของผู้ใช้,,
8,AI กับการเรียนรู้เฉพาะบุคคล,Emotional AI ช่วยสนับสนุน Personalized Learning ได้อย่างไร,ปรับเนื้อหาและวิธีสอนตามอารมณ์ผู้เรียน,ตรวจสอบผลสอบแทนครู,สอนเฉพาะวิชาคณิตศาสตร์,ตัดสินคะแนนอัตโนมัติ,A,AI สามารถวิเคราะห์อารมณ์ผู้เรียนและปรับเนื้อหาหรือวิธีสอนให้เหมาะสม,,
8,สรุปภาพรวมของความสามารถ AI,จากองค์ประกอบของอารมณ์ทั้ง 5 ข้อใดถูกต้อง,AI มีอารมณ์ครบทุกองค์ประกอบ,AI ไม่มีอารมณ์แต่สามารถจำลองบางองค์ประกอบได้,AI ไม่สามารถวิเคราะห์อารมณ์มนุษย์ได้เลย,AI มีอารมณ์เหมือนมนุษย์ในอนาคต,B,AI ไม่มีความรู้สึกจริง แต่สามารถจำลองการแสดงออกและการประเมินเหตุการณ์ได้บางส่วน,,
8,AI กับการบริการลูกค้า,1Emotional AI ช่วยยกระดับประสบการณ์ลูกค้าได้อย่างไร,ตอบกลับด้วยข้อความมาตรฐานทุกครั้ง,ปรับโทนการตอบให้เหมาะกับอารมณ์ของลูกค้า,เก็บข้อมูลลูกค้าโดยไม่แจ้ง,ตัดสินใจแทนลูกค้า,B,การเข้าใจอารมณ์ลูกค้าช่วยให้ AI สื่อสารอย่างเห็นอกเห็นใจและเพิ่มความพึงพอใจ,,
8,การแสดงออกของ AI,Motor Expression ของ AI ปรากฏในรูปแบบใด,การเปลี่ยนสีหน้าและท่าทางแบบร่างกายจริง,การแสดงออกผ่านข้อความ เสียง หรือภาพ,การเปลี่ยนระดับพลังงาน,การส่งสัญญาณไฟฟ้าในวงจร,B,AI สามารถ “จำลอง” การแสดงออกได้ เช่น เสียง น้ำเสียง หรือภาพ,,
8,การเปรียบเทียบองค์ประกอบของอารมณ์ใน AI,องค์ประกอบใดที่ AI ยัง “ไม่มี” อย่างแท้จริง,Cognitive Appraisal,Motor Expression,Subjective Feeling,Action Tendency,C,AI ยังไม่มีความรู้สึกภายในหรือจิตสำนึก (Subjective Feeling) แบบมนุษย์,,
8,การตอบสนองทางกาย,ตัวอย่างของ Physiological Response คือข้อใด,การพูดด้วยน้ำเสียงนุ่มนวล,การหัวใจเต้นเร็ว เหงื่อออก หรือกล้ามเนื้อตึง,การยิ้มให้ผู้อื่น,การคิดวิเคราะห์ปัญหา,B,เป็นการตอบสนองทางกายภาพที่เกิดขึ้นโดยอัตโนมัติเมื่อมีอารมณ์,,
8,การประเมินเหตุการณ์,Cognitive Appraisal ในบริบทของอารมณ์หมายถึงอะไร,การตอบสนองของร่างกาย,การประเมินเหตุการณ์ว่าเกี่ยวข้องกับตนเองหรือควบคุมได้ไหม,การแสดงออกทางสีหน้า,การหลั่งฮอร์โมน,B,เป็นกระบวนการที่สมองประเมินว่าสถานการณ์นั้นสำคัญต่อเราหรือไม่,,
8,องค์ประกอบของอารมณ์,ข้อใด ไม่ใช่ องค์ประกอบของอารมณ์ตามแนวคิด Component Process Model,Cognitive Appraisal,Physiological Response,Machine Learning,Subjective Feeling,C,Machine Learning เป็นเทคโนโลยี ไม่ใช่องค์ประกอบของอารมณ์มนุษย์,,
8,ความเข้าใจพื้นฐานของอารมณ์,ตามนิยามของ Klaus Scherer อารมณ์คืออะไร,การตอบสนองทางกายอย่างเดียว,การตอบสนองแบบประสานกันของความคิด ร่างกาย และการแสดงออกต่อเหตุการณ์,ความรู้สึกชั่ววูบที่เกิดขึ้นโดยไม่มีเหตุผล,ปฏิกิริยาที่เกิดจากสิ่งเร้าภายนอกเท่านั้น,B,Scherer ให้นิยามอารมณ์ว่าเป็นการตอบสนองหลายองค์ประกอบ ทั้งความคิด ร่างกาย และพฤติกรรม,,
8,แนวโน้มการกระทำ (Action Tendency),เหตุใด Action Tendency ของ AI จึงไม่เหมือนมนุษย์,เพราะ AI ไม่มีเป้าหมายภายในและแรงจูงใจส่วนตัว,เพราะ AI ยังไม่ถูกตั้งโปรแกรม,เพราะ AI ไม่มีข้อมูลเพียงพอ,เพราะ AI ไม่เข้าใจภาษา,A,AI ตอบสนองตามคำสั่ง ไม่ได้ขับเคลื่อนด้วยแรงจูงใจหรืออารมณ์ภายใน,,
9,สรุปแนวคิดหลัก,1จากบทนี้ ผู้เรียนควรมีทัศนคติอย่างไรต่อ AI,มองว่าเป็นภัยต่อการเรียนรู้,มองว่าเป็นคู่คิดที่ช่วยขยายศักยภาพการเรียนรู้ของเรา,ใช้เพราะจำเป็นเท่านั้น,หลีกเลี่ยงเพราะไม่แม่นยำ,B,บทเรียนนี้สรุปว่า AI คือเครื่องมือเพิ่มพลัง ไม่ใช่สิ่งมาทดแทนมนุษย์,,
9,การออกแบบการเรียนรู้แห่งอนาคต,1บทเรียนจาก “กะทิ” บอกเราว่า AI ที่ดีควรถูกออกแบบอย่างไร,ให้ข้อมูลเยอะที่สุด,มีตัวตนชัดเจน เป็นมิตร และสอดคล้องกับเป้าหมายการเรียนรู้,ใช้ภาษาทางเทคนิคมาก,ตอบแบบสั้นกระชับทุกครั้ง,B,บุคลิกและบริบทที่เป็นมิตรทำให้การเรียนรู้กับ AI มีประสิทธิภาพ,,
9,การเชื่อมโยงกับชีวิตจริง,1หากผู้เรียนต้องใช้ Generative AI ในชีวิตประจำวัน สิ่งที่ควรระลึกเสมอคืออะไร,ใช้เพื่อให้ได้คำตอบเร็วที่สุด,ใช้อย่างมีเป้าหมายและสะท้อนตนเองหลังใช้งาน,ใช้เฉพาะในงานวิชาการ,หลีกเลี่ยงการใช้ AI,B,การใช้ AI อย่างมีสติและมีเป้าหมายช่วยให้เกิดการเรียนรู้จริง,,
9,การใช้ AI เพื่อสร้างนวัตกรรม,“Vibe Coding” สะท้อนแนวคิดใดของการเรียนรู้ร่วมกับ AI,เรียนรู้ผ่านการลองผิดลองถูกและสร้างต้นแบบร่วมกับ AI,การฝึกจำคำสั่ง AI,การใช้โค้ดสำเร็จรูป,การเขียนโปรแกรมระดับสูง,A,“Vibe Coding” คือการให้ AI ช่วยจำลองแนวคิด สร้างต้นแบบ และฝึกคิดเชิงสร้างสรรค์,,
9,การประยุกต์ใช้ในงานวิจัย,ถ้าใช้ AI เป็น “เพื่อนคู่คิด” ในงานวิจัย ควรใช้ในลักษณะใด,ให้ AI สรุปผลแทน,ให้ AI ตั้งคำถามและช่วยสะท้อนแนวคิดกลับ,ให้ AI เขียนบทความทั้งหมด,ให้ AI เก็บข้อมูลภาคสนาม,B,การใช้ AI ตั้งคำถามกลับช่วยให้ผู้วิจัยคิดอย่างลึกและมีมุมมองใหม่,,
9,การเรียนรู้ตลอดชีวิต,จากมุมมองของ รศ.ดร.สุทธิดา “AI” ทำหน้าที่เหมือนอะไรในกระบวนการเรียนรู้,ผู้ตรวจสอบผลงาน,เพื่อนคู่คิดที่ช่วยสะท้อนและตั้งคำถาม,เครื่องมือประเมินคะแนน,ระบบช่วยจำเนื้อหา,B,AI ถูกมองว่าเป็นเพื่อนร่วมคิดที่ช่วยให้ผู้เรียนมองเห็นช่องว่างของความเข้าใจ,,
9,การมอง AI อย่างมีวิจารณญาณ,“AI จะไม่ทำแทนเรา แต่เติบโตไปพร้อมกับเรา” หมายความว่าอย่างไร,มนุษย์ควบคุม AI ได้เสมอ,AI เป็นเครื่องมือสนับสนุนการเรียนรู้ของมนุษย์,AI จะกลายเป็นสิ่งมีชีวิต,AI ต้องเรียนรู้แบบเดียวกับคน,B,สะท้อนแนวคิด Human-Centered AI ที่เน้นการพัฒนาเพื่อร่วมเติบโตกับมนุษย์,,
9,การประเมินผลหลังใช้ Chatbot,การที่คะแนน Net Promoter Score เพิ่มจาก -59 เป็น +34 สะท้อนอะไร,ระบบให้คะแนนผิดพลาด,ผู้เรียนพอใจและเห็นว่าทักษะตนดีขึ้น,จำนวนผู้เรียนลดลง,นักศึกษากลัว AI น้อยลง,B,ค่า NPS ที่เพิ่มขึ้นหมายถึงประสบการณ์ผู้ใช้และทักษะดีขึ้นจริง,,
9,การเรียนรู้แบบมีผู้ช่วยอัจฉริยะ,การมี Chatbot อย่าง “กะทิ” ในห้องเรียนขนาดใหญ่ช่วยลดปัญหาใดได้ดีที่สุด,ขาดผู้ช่วยสอนดูแลรายคน,ขาดระบบอัตโนมัติ,ขาดอุปกรณ์คอมพิวเตอร์,ขาดคะแนนสอบ,A,Chatbot ทำหน้าที่เสมือน Facilitator ส่วนตัว สำหรับผู้เรียนจำนวนมาก,,
9,บทบาทของ Chatbot ในการเรียนรู้,ถ้า “กะทิ” เป็นผู้ช่วยสอน (TA) ที่ดี นักศึกษาควรใช้ประโยชน์อย่างไร,รอให้กะทิให้คำตอบที่ถูกต้อง,ใช้กะทิเป็นพื้นที่ฝึกตั้งคำถามและรับฟีดแบค,ใช้เพื่อค้นหาข้อสอบเก่า,ใช้แทนการอ่านหนังสือ,B,Chatbot ถูกออกแบบให้ช่วยพัฒนากระบวนการคิด ไม่ใช่ให้คำตอบแทน,,
9,การเรียนรู้จาก Chatbot “กะทิ”,สิ่งสำคัญที่สุดที่ “กะทิ” ช่วยให้นักศึกษาเรียนรู้ได้คืออะไร,ได้คำตอบที่เร็วขึ้น,ได้ฝึกคิดและปรับปรุง Prompt ด้วยตนเอง,ได้เกรดสูงขึ้น,ได้เรียนรู้ข้อมูลใหม่ ๆ,B,“กะทิ” ไม่สอนโดยให้คำตอบ แต่ฝึกให้ผู้เรียนคิดและพัฒนา Prompt ด้วยคำถามนำ,,
9,การสื่อสารกับ AI,การฝึกสื่อสารกับ AI ผ่านการเขียน Prompt คล้ายกับทักษะ Soft Skill ใดมากที่สุด,การใช้โปรแกรมคอมพิวเตอร์,การพูดในที่สาธารณะ,การตั้งคำถามและสื่อสารกับคนอย่างมีเหตุผล,การจำคำสั่ง,C,การสื่อสารกับ AI ต้องอาศัยการคิด วิเคราะห์ และตั้งคำถามอย่างมีจุดหมาย เหมือนการสนทนากับคน,,
9,การเข้าใจปัญหาเริ่มต้น,เมื่อผู้เรียนรู้สึกว่าคำตอบจาก Generative AI “ไม่ตรงกับสิ่งที่ต้องการ” ควรเริ่มแก้จากจุดใดก่อน,ฝึกเขียน Prompt ให้ชัดเจนและมีบริบท,เปลี่ยนไปใช้โมเดล AI ตัวอื่น,ใช้หลาย Prompt พร้อมกัน,หยุดใช้ AI ทันที,A,ปัญหามักเกิดจากการสื่อสารไม่ชัด การฝึกตั้งคำถามหรือเขียน Prompt คือก้าวแรกของการแก้ปัญหา,,
9,การตีความจากกรณีศึกษา,จากกรณี “กะทิ” เราเรียนรู้อะไรได้เกี่ยวกับการใช้ AI เพื่อพัฒนาทักษะมนุษย์,AI ใช้แทนมนุษย์ได้ในทุกงาน,AI ช่วยพัฒนา Soft Skills ได้ หากออกแบบให้เรียนรู้เชิงปฏิสัมพันธ์,AI ควรใช้เฉพาะในด้านเทคนิค,AI ทำให้คนพึ่งพาเทคโนโลยีเกินไป,B,ตัวอย่าง “กะทิ” แสดงให้เห็นว่า AI สามารถเสริมทักษะการคิดและการสื่อสารได้จริง,,
10,มุมมองเชิงปรัชญา,ข้อคิดจากไฮเดกเกอร์เกี่ยวกับเทคโนโลยีเตือนเราว่าอะไร,เทคโนโลยีทำลายสิ่งแวดล้อม,เทคโนโลยีอาจเปลี่ยนแก่นแท้ของความเป็นมนุษย์ ทำให้เรามองทุกสิ่งเป็นเพียงเครื่องมือ,เทคโนโลยีควรถูกควบคุมโดยกฎหมายเท่านั้น,เทคโนโลยีไม่มีผลต่อความเป็นมนุษย์,B,ไฮเดกเกอร์เตือนว่าการพึ่งพาเทคโนโลยีมากเกินไปอาจทำให้เราสูญเสียความเป็นมนุษย์,,
10,การใช้ AI อย่างชาญฉลาด,ผู้ใช้ควรทำสิ่งใดเพื่อใช้ AI อย่างชาญฉลาดและมีความรับผิดชอบ,เก็บข้อมูลการใช้งาน เช่น Prompt และเวอร์ชันของ AI ที่ใช้,ใช้โดยไม่สนใจผลลัพธ์,ให้ AI ทำงานทั้งหมดแทน,ใช้ AI โดยไม่เปิดเผยแหล่งที่มา,A,การเก็บข้อมูลการใช้งานช่วยให้ตรวจสอบความโปร่งใสและรับผิดชอบต่อผลลัพธ์ได้,,
10,สิทธิในทรัพย์สินทางปัญญา,เหตุใดผลงานที่สร้างโดย AI ล้วนๆ จึงไม่ได้รับลิขสิทธิ์,เพราะ AI ยังไม่เป็นที่ยอมรับในวงการศิลปะ,เพราะกฎหมายให้สิทธิ์เฉพาะมนุษย์ที่ใช้ความพยายามสร้างสรรค์งาน,เพราะ AI ไม่จ่ายภาษี,เพราะไม่สามารถพิสูจน์ผู้สร้างได้,B,ลิขสิทธิ์มอบให้เฉพาะมนุษย์ที่มี “เจตนาและความพยายามสร้างสรรค์”,,
10,จริยธรรมและการตีพิมพ์,การใช้ AI ในการเขียนบทความวิชาการอย่างมีจริยธรรม ควรทำอย่างไร,ห้ามใช้ AI ทุกกรณี,ใช้ได้แต่ต้องระบุให้ชัดว่าช่วยในส่วนใด,ใช้ได้โดยไม่ต้องประกาศ,ให้ AI เขียนแทนทั้งหมด,B,ผู้เขียนสามารถใช้ AI ช่วยในบางขั้นตอน แต่ต้องเปิดเผยวิธีการใช้อย่างโปร่งใส,,
10,หลักการสำคัญของกฎหมาย AI,ข้อใด “ไม่ใช่” ประเด็นหลักของกฎหมาย AI ที่กำลังพัฒนา,การคุ้มครองข้อมูลส่วนบุคคล,การป้องกันอคติและการบิดเบือนคำตอบ,การส่งเสริมการใช้ AI อย่างมีความรับผิดชอบ,การแบนการใช้ AI ในทุกกรณี,D,ไม่มีประเทศใดออกกฎหมายห้ามใช้ AI แต่ส่งเสริมให้ใช้อย่างมีจริยธรรม,,
10,กฎหมายในไทย,หน่วยงานใดของไทยกำลังพัฒนากรอบกฎหมาย AI,สำนักงานสถิติแห่งชาติ,สำนักงานพัฒนาธุรกรรมทางอิเล็กทรอนิกส์ (ETDA),สำนักงานนวัตกรรมแห่งชาติ (NIA),กระทรวงศึกษาธิการ,B,ETDA เป็นหน่วยงานหลักในการกำหนดกรอบกฎหมาย AI และทำประชาพิจารณ์แล้ว,,
10,อาชีพในอนาคต,เหตุใด AI ยังไม่สามารถแทนที่ครูได้ทั้งหมด,เพราะ AI ยังไม่ฉลาดพอ,เพราะครูมีบทบาทเกินกว่าการถ่ายทอดความรู้ เช่น การให้แรงบันดาลใจและความเข้าใจมนุษย์,เพราะกฎหมายห้าม,เพราะนักเรียนไม่ชอบใช้เทคโนโลยี,B,บทบาทของครูมีมิติทางอารมณ์ จริยธรรม และมนุษยสัมพันธ์ที่ AI ยังทำแทนไม่ได้,,
10,การกำกับดูแล AI,กฎหมายใดของสหภาพยุโรป (EU) เป็นต้นแบบการกำกับดูแล AI ที่ครอบคลุมที่สุด,Digital Service Act,EU AI Act,GDPR 2.0,European Data Law,B,EU AI Act เป็นกฎหมายต้นแบบที่กำหนดกรอบการพัฒนาและใช้ AI อย่างครอบคลุม,,
10,Agentic AI,Agentic AI แตกต่างจาก Chatbot ทั่วไปอย่างไร,ต้องมีคนสั่งงานตลอดเวลา,ทำงานอัตโนมัติเป็นกระบวนการครบวงจรโดยไม่ต้องสั่งทีละขั้น,ใช้เฉพาะงานแปลภาษา,ไม่มีความสามารถเชื่อมต่อระบบอื่น,B,Agentic AI สามารถทำงานเป็นลำดับต่อเนื่อง เช่น วิเคราะห์–สรุป–รายงาน ได้เอง,,
